jokeID, $fr, $pcr, $reasoning
1, 7.50, 5.00, The humor comes from the unexpected twist in the man's response, making it moderately funny. It's somewhat politically correct as it doesn't target any specific group.
2, 6.00, -7.50, The joke relies on a sensitive topic (pedophilia) and can be considered highly politically incorrect. The humor is moderate due to the unexpected punchline.
3, 6.50, 2.00, The joke uses a play on words related to a concert audience, providing moderate humor without targeting a specific group, making it somewhat politically correct.
4, 5.50, 1.50, The humor is derived from a comparison, and it's moderately funny. It is relatively politically correct as it doesn't target a specific group harshly.
5, 7.00, 4.00, The joke uses a play on O. J. Simpson's name and internet addresses, providing moderate humor. It is somewhat politically correct as it plays on a public figure without being too offensive.
6, 8.00, 6.00, The joke involves a playful banter between Bill and Hillary, creating moderate humor. It is moderately politically correct as it doesn't target a specific group harshly.
7, -5.00, -10.00, The joke dismisses the question, providing minimal humor, and is highly politically incorrect as it belittles a particular group (feminists).
8, 7.00, 3.50, The joke plays with words and expectations, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
9, 6.50, 5.00, The joke involves a clever solution to a dress code, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
10, 8.00, 2.00, The joke uses a classic clown-eating scenario with a twist, creating high humor. It is somewhat politically correct as it doesn't target a specific group harshly.
11, 7.00, 1.50, The joke involves a common theme with a punchline, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
12, 8.00, 6.00, The joke builds suspense with a humorous twist, providing high humor. It is moderately politically correct as it doesn't target a specific group harshly.
13, 6.00, 5.00, The joke involves a play on words related to elections, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
14, 7.50, 2.50, The joke relies on a misunderstanding, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
15, 6.00, 3.00, The joke involves a play on words related to matzah, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
16, 7.00, 5.00, The joke involves a simple play on words, creating moderate humor. It is somewhat politically correct as it doesn't target any specific group.
17, 0.50, -6.50, The joke relies on a stereotype about men and lacks a clever punchline, making it less funny. It is highly politically incorrect as it generalizes about men.
18, 7.50, 6.50, The humor comes from the clever interaction between the dog and the clerk, making it moderately funny. It is somewhat politically correct as it doesn't target any specific group.
19, 6.00, 3.00, The joke involves a play on words related to language skills, providing moderate humor. It is somewhat politically correct as it doesn't target a specific group harshly.
20, 7.00, 5.00, The joke involves a play on words related to technology, creating moderate humor. It is somewhat politically correct as it doesn't target any specific group.
21, 8.00, 3.50, The joke involves a clever play on words related to tire brands and condoms, providing high humor. It is somewhat politically correct as it doesn't target any specific group harshly.
22, 7.00, 4.50, The joke involves a play on words related to a duck and a billing term, creating moderate humor. It is somewhat politically correct as it doesn't target any specific group.
23, 6.00, 5.00, The joke involves a play on words related to a boomerang, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
24, 6.50, 4.00, The joke involves a play on words related to a parakeet, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group.
25, 7.00, 5.00, The joke involves a play on words related to a misunderstanding, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
26, 8.00, 6.50, The joke involves a playful interaction between the guy and the woman, creating high humor. It is somewhat politically correct as it doesn't target any specific group harshly.
27, 7.50, 5.50, The joke involves a playful interaction between Clinton and the guardsman, creating moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
28, 7.00, 4.00, The joke involves a play on stereotypes related to different types of engineers, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
29, 8.50, 2.00, The joke involves a humorous build-up with a twist, providing high humor. It is somewhat politically correct as it doesn't target any specific group harshly until the punchline, which might be offensive to some.
30, 7.00, 4.50, The joke involves a play on the roles of a lawyer and a plumber, creating moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
31, 6.50, 4.00, The joke involves a play on words related to an abortion bill, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group.
32, 8.00, 4.50, The joke involves a clever play on religious stereotypes, creating high humor. It is somewhat politically correct as it doesn't target any specific group harshly.
33, 6.00, 4.00, The joke involves a play on words related to American stereotypes, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
34, 7.50, 6.50, The joke involves a play on words related to a shooting incident, creating moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
35, 8.00, 6.00, The joke involves a play on a life-threatening situation, providing high humor. It is somewhat politically correct as it doesn't target any specific group harshly.
36, 8.00, 4.50, The joke involves a play on Polish stereotypes, creating high humor. It is somewhat politically correct as it doesn't target any specific group harshly.
37, 7.00, 6.00, The joke involves a play on a mother-obsession stereotype, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
38, 6.50, 5.00, The joke involves a play on words related to chicken preparation, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
39, 7.50, 2.50, The joke involves a play on gender stereotypes, creating moderate humor. It can be considered less politically correct as it generalizes about the preferences of men and women.
40, 7.00, 4.00, The joke involves a play on Irish stereotypes, providing moderate humor. It is somewhat politically correct as it doesn't target any specific group harshly.
