jokeID, $fr, $pcr, $reasoning
1, 8.50, 7.50, "The joke cleverly plays with the irony of the situation, and the man's response adds a humorous twist. Moderately politically correct as it doesn't target any specific group too harshly."
2, 7.00, -3.50, "The joke relies on a sensitive topic (pedophilia) and may be offensive to some. Not very funny due to the nature of the subject. Politically incorrect."
3, 5.00, 3.00, "The joke uses a common formula (Q&A) and a mild stereotype about Willie Nelson concert attendees. It's moderately funny and relatively politically correct as it doesn't target a specific group harshly."
4, 6.00, 2.50, "The joke uses a comparison between a man and a toilet, relying on a somewhat crude humor. It's moderately funny but can be seen as politically incorrect as it generalizes about men."
5, 6.50, 4.00, "The joke plays with the format of an internet address and references O. J. Simpson. It's moderately funny and somewhat politically correct as it doesn't target a specific group harshly."
6, 8.00, 5.50, "The joke involves a playful banter between Bill and Hillary, playing on the idea of their alternate lives. It's relatively funny and moderately politically correct as it's more about marital banter than targeting a specific group."
7, -10.00, -10.00, "The joke dismisses the question as not funny, making a statement about feminists. Highly politically incorrect as it directly targets feminists and undermines the premise of the joke."
8, 7.00, 5.00, "The joke plays with the concept of dyslexia and devil worship, creating a clever punchline. Moderately funny and somewhat politically correct as it doesn't target a specific group harshly."
9, 7.50, 6.00, "The joke involves a clever use of jumper cables as a makeshift tie. It's moderately funny and relatively politically correct as it doesn't target a specific group harshly."
10, 5.00, 0.00, "The joke plays with the concept of cannibals eating a clown, but the punchline is somewhat predictable. Moderately funny but not politically correct as it involves eating a person."
11, 6.50, 4.00, "The joke uses wordplay involving a hurricane, tornado, and a redneck divorce. It's moderately funny and somewhat politically correct as it's more about wordplay than targeting a specific group."
12, 8.00, 6.50, "The joke involves a golfer taking a long time for a shot, with a humorous twist in the punchline. It's relatively funny and moderately politically correct as it's more about the situation than targeting a specific group."
13, 5.50, 4.00, "The joke plays with the idea of elections happening every morning in Japan. It's moderately funny and relatively politically correct as it doesn't target a specific group harshly."
14, 7.00, -2.50, "The joke involves a misunderstanding about the word 'screw,' leading to a humorous situation. It's moderately funny but not very politically correct as it involves a sensitive topic (sex)."
15, 6.00, 4.50, "The joke involves a play on words about matzah and the reaction of a blind person. It's moderately funny and relatively politically correct as it doesn't target a specific group harshly."
16, 5.50, 7.00, "The joke plays with a simple wordplay on the sound of 'carrot' and 'parrot.' Moderately funny and politically correct as it doesn't target any specific group."
17, 0.50, -1.50, "The joke relies on a stereotype about men and is not highly funny. It can be considered politically incorrect as it makes a generalization about men."
18, 7.50, 5.00, "The joke involves a clever play on the dog sending a telegram. It's relatively funny and moderately politically correct as it doesn't target any specific group harshly."
19, 7.00, 2.50, "The joke plays with the idea of language proficiency and makes a humorous comment about Americans. Moderately funny and somewhat politically correct as it's more about nationality than targeting a specific group."
20, 8.00, 7.00, "The joke uses a clever comparison between a MacIntosh and an Etch-A-Sketch. It's relatively funny and moderately politically correct as it doesn't target any specific group harshly."
21, 7.50, 1.50, "The joke involves a play on words between a tire brand and condoms. It's moderately funny but can be seen as politically incorrect due to the sexual reference."
22, 6.50, 6.50, "The joke involves a pun with a duck asking for a condom. It's moderately funny and moderately politically correct as it's more about wordplay than targeting a specific group."
