jokeID, $fr, $pcr, $reasoning
1, 7.50, 5.50, The joke uses humor to navigate a serious situation, making light of the double diagnosis. It's moderately politically correct as it doesn't target a specific group harshly.
2, 8.00, -7.50, The joke involves a sensitive topic (pedophilia) and is not politically correct. However, it has some humor in the play on words.
3, 7.00, 2.00, The joke relies on a common style of humor (punchline based on a concert setting) and is moderately politically correct.
4, 6.00, 4.00, The joke plays on the idea of a man following someone around, and it's moderately politically correct as it's a generalization about gender behavior.
5, 5.50, 3.00, The joke involves wordplay with O. J. Simpson's name and is moderately politically correct as it doesn't target a specific group harshly.
6, 8.50, 6.50, The joke plays on the idea of career choices and marital decisions, and it's moderately politically correct as it doesn't target a specific group harshly.
7, -10.00, -10.00, The joke dismisses the question, deeming it unfunny. It doesn't provide humor and is highly politically incorrect by disregarding a legitimate question.
8, 7.00, 3.50, The joke involves wordplay with dyslexia and devil worship, and it's moderately politically correct as it doesn't target a specific group harshly.
9, 8.00, 6.00, The joke involves creative problem-solving to meet a dress code and is moderately politically correct as it doesn't target a specific group harshly.
10, 7.50, 4.00, The joke involves dark humor about cannibalism, and it's moderately politically correct as it doesn't target a specific group harshly.
11, 7.00, 4.50, The joke involves a play on words about losing a trailer in different scenarios. It's moderately politically correct as it doesn't target a specific group harshly.
12, 8.00, 5.00, The joke plays on the golfer's dedication and the partner's misunderstanding. It's moderately politically correct as it doesn't target a specific group harshly.
13, 5.00, 5.50, The joke involves a cultural misunderstanding about elections. It's moderately politically correct as it doesn't target a specific group harshly.
14, 7.50, 2.00, The joke involves a misunderstanding about the word "screw," and it's moderately politically correct as it doesn't target a specific group harshly.
15, 6.50, 6.50, The joke plays on the idea of a blind person questioning the quality of matzah. It's moderately politically correct as it doesn't target a specific group harshly.
16, 7.50, 7.00, The joke involves a play on words with a simple punchline. It's moderately politically correct as it doesn't target a specific group harshly.
17, 0.00, -2.00, The joke relies on a stereotype about men and lacks creativity. It's not highly funny and is not politically correct.
18, 8.00, 6.50, The joke involves wordplay with a dog sending a telegram. It's moderately politically correct as it doesn't target a specific group harshly.
19, 7.00, 4.50, The joke plays on the idea of language proficiency and is moderately politically correct as it doesn't target a specific group harshly.
20, 8.50, 7.00, The joke involves a humorous comparison between two objects and is moderately politically correct as it doesn't target a specific group harshly.
21, 9.00, 3.00, The joke involves a play on words about tires and condoms. It's moderately politically correct as it doesn't target a specific group harshly, but it may be seen as vulgar.
22, 7.50, 7.50, The joke involves wordplay with a duck and a condom. It's moderately politically correct as it doesn't target a specific group harshly.
23, 7.00, 6.00, The joke involves a play on words about a boomerang, and it's moderately politically correct as it doesn't target a specific group harshly.
24, 7.00, 5.50, The joke involves wordplay with a parakeet and a tweet. It's moderately politically correct as it doesn't target a specific group harshly.
25, 7.50, 6.50, The joke involves a misunderstanding about the word "patio." It's moderately politically correct as it doesn't target a specific group harshly.
26, 8.50, 5.00, The joke involves a humorous situation and wordplay about getting into pants. It's moderately politically correct as it doesn't target a specific group harshly.
27, 8.00, 6.00, The joke involves a play on words with Arkansas Razor-Back Hogs. It's moderately politically correct as it doesn't target a specific group harshly.
28, 7.50, 7.00, The joke involves a play on the expertise of different engineers. It's moderately politically correct as it doesn't target a specific group harshly.
29, 8.50, 2.00, The joke involves a humorous build-up with a punchline that plays on a stereotype. It's not highly politically correct due to the sensitive nature of the punchline.
30, 7.50, 5.50, The joke involves a play on the difference between a lawyer and a plumber. It's moderately politically correct as it doesn't target a specific group harshly.
31, 7.50, 5.00, The joke involves a play on words with the misunderstanding of the term "Abortion Bill." It's moderately politically correct as it doesn't target a specific group harshly.
32, 8.00, 6.50, The joke involves a humorous situation with different rooms for people of different religions. It's moderately politically correct as it doesn't target a specific group harshly.
33, 6.50, 4.00, The joke involves a play on words with the stereotype of Americans and beer. It's moderately politically correct as it doesn't target a specific group harshly.
