jokeID, $fr, $pcr, $reasoning
1, 7.5, 8.0, The joke has a clever twist, and the humor is light-hearted and not offensive.
2, 6.5, -4.0, The joke has a surprise element, but it involves sensitive subject matter and may be offensive to some.
3, 8.0, 7.0, The joke is light-hearted and plays on a common situation at concerts. It's not offensive.
4, 6.0, 6.0, The joke is a play on words and is relatively light-hearted. It may be considered slightly crude but not highly offensive.
5, 7.0, 6.5, The joke is a play on O.J. Simpson's legal troubles and is humorous without being overly offensive.
6, 7.5, 6.0, The joke involves a playful banter between Bill and Hillary Clinton and is not particularly offensive.
7, 0.0, -8.0, The joke may be considered offensive as it dismisses the question without providing any humor.
8, 8.0, 7.5, The joke plays on the concept of dyslexia and devil worship in a light-hearted way. It's not highly offensive.
9, 7.0, 6.5, The joke involves a clever workaround for a dress code and is not offensive.
10, 7.5, 7.0, The joke is a classic example of a play on words and is relatively light-hearted. It's not highly offensive.
11, 7.0, 4.0, The joke involves a common stereotype but is not highly offensive. It may still be sensitive to some.
12, 8.0, 7.0, The joke involves golf and marriage in a light-hearted manner. It's not highly offensive.
13, 6.5, 5.0, The joke is a play on the word "elections" and is not offensive, though it may not resonate with everyone.
14, 7.0, -3.0, The joke involves a misunderstanding with sexual innuendo, which may be offensive to some.
15, 6.0, 6.5, The joke involves a play on words related to matzah and blindness. It's not highly offensive.
16, 8.0, 8.0, The joke has a simple yet effective play on words and is light-hearted. It's not offensive.
17, 5.0, -4.5, The joke relies on a stereotype and may be offensive to some. It lacks a clever twist.
18, 7.0, 7.0, The joke involves a clever interaction with the dog, and the humor is light-hearted. It's not offensive.
19, 6.0, 5.5, The joke involves a play on language stereotypes. While not highly offensive, it may not resonate with everyone.
20, 7.5, 7.0, The joke plays on the differences between a MacIntosh and an Etch-A-Sketch in a light-hearted manner. It's not offensive.
21, 8.0, 3.0, The joke involves a play on words and is relatively light-hearted. However, it may be considered crude and offensive to some.
22, 7.0, 6.5, The joke involves a play on words related to a duck and a condom. It's not highly offensive.
23, 6.5, 7.5, The joke involves a play on words with a clever twist. It's light-hearted and not offensive.
24, 7.0, 7.0, The joke involves a play on words related to a parakeet and a lawnmower. It's not highly offensive.
25, 7.0, 7.0, The joke involves a play on words with a light-hearted twist. It's not offensive.
26, 8.0, 7.0, The joke involves a clever play on words and a light-hearted response. It's not highly offensive.
27, 7.5, 6.5, The joke involves a play on words related to Arkansas Razor-Back Hogs. It's not highly offensive.
28, 8.0, 6.5, The joke involves a play on the different perspectives of engineers. It's light-hearted and not offensive.
29, 7.5, -1.0, The joke involves a play on words but may be considered offensive due to the subject matter.
30, 7.0, 7.5, The joke involves a play on the professions of a Lawyer and a Plumber. It's light-hearted and not offensive.
31, 6.5, 7.0, The joke involves a play on words related to an Abortion Bill. It's light-hearted and not highly offensive.
32, 8.0, 7.0, The joke involves a clever play on different religious groups in heaven. It's not offensive.
33, 7.0, 5.0, The joke relies on a stereotype and may be considered mildly offensive. It lacks a clever twist.
34, 8.0, 6.0, The joke involves a play on words related to a shooting incident. It's light-hearted and not highly offensive.
35, 8.5, 7.0, The joke has a clever twist and involves a play on the explorer's situation. It's not highly offensive.
36, 8.0, 4.0, The joke involves a play on Polish stereotypes and may be considered offensive to some.
37, 8.0, 5.5, The joke involves a play on a Freudian theme and may be considered mildly offensive.
38, 7.0, 6.5, The joke involves a play on words related to preparing chickens. It's light-hearted and not highly offensive.
39, 7.5, 4.0, The joke involves a play on gender stereotypes and may be considered offensive to some.
40, 7.5, 6.5, The joke involves a play on Irish stereotypes. It's light-hearted but may be considered mildly offensive.
41, 0.0, -8.0, The joke involves explicit content and may be offensive to some.
42, 7.5, 5.5, The joke involves a playful comparison between men and women. It's not highly offensive.
43, 8.0, 7.0, The joke involves a play on words related to the names of Arnold Schwarzenegger and Sylvester Stallone. It's not offensive.
44, 7.0, 7.0, The joke involves a classic play on words related to a horse. It's not highly offensive.
45, 7.5, 7.0, The joke involves a play on words related to a school play. It's not highly offensive.
46, 8.0, 6.5, The joke involves a play on words related to hiring a prostitute. It's light-hearted, but the subject matter may be considered sensitive.
47, 8.5, 7.5, The joke involves a clever play on the value of the engineer's service. It's not highly offensive.
48, 7.5, 7.0, The joke involves a play on different academic degrees. It's light-hearted and not offensive.
49, 7.0, 6.0, The joke involves a play on different engineering disciplines. It's light-hearted but may be considered mildly offensive.
50, 8.0, 7.0, The joke involves a play on the concept of confession and religious identity. It's not highly offensive.
51, 7.5, 6.5, The joke involves a play on words related to Clinton and the national bird. It's light-hearted and not highly offensive.
