//I will alter this file later on to be a .csv file as well
//All of these have only been ChatGPT outputs so far as Grok is still experiencing high demands


//first output of annotation test
Sure, let's break down each joke with the punchline and a brief note on what makes it funny:

Joke: "I can't hear what they're saying cuz I'm talking."

Punchline: "I'm talking."
Note: The humor comes from the irony of someone narrating a documentary about narrators but being unable to hear because they are talking.
Joke: "Ticks, mosquitos, vampires... men."

Punchline: "Ticks, mosquitos, vampires... men."
Note: The humor arises from the unexpected inclusion of "men" among pests, using a play on the word "pests."
Joke: "It's my own fault for swapping my tampax for sandpaper."

Punchline: "Swapping my tampax for sandpaper."
Note: The humor is derived from the unexpected and painful consequence of the speaker's mistaken swap.
Joke: "I would choose alive."

Punchline: "I would choose alive."
Note: The humor comes from subverting the expectation of choosing between someone dead or alive by opting for the unexpected response.
Joke: "The third guy ducks."

Punchline: "The third guy ducks."
Note: The humor is in the unexpected twist, where the third guy takes the literal meaning of "walk into a bar."
Joke: "Because Ken comes in a different box. Heyooooooo"

Punchline: "Because Ken comes in a different box. Heyooooooo"
Note: The humor is based on a double entendre involving the packaging of Barbie and Ken dolls.
Joke: "He got in treble."

Punchline: "He got in treble."
Note: The play on words involves a musical pun with "treble," which sounds like "trouble."
Joke: "He had nothing left to chauffeur it."

Punchline: "He had nothing left to chauffeur it."
Note: The humor lies in the pun between "chauffeur" (driver) and "to offer."
Joke: "Don't ask her out again."

Punchline: "Don't ask her out again."
Note: The humor comes from the unexpected advice about dealing with bird droppings, implying not to pursue a romantic relationship.
Joke: "He always opened the fridge door for me."

Punchline: "He always opened the fridge door for me."
Note: The humor is in the twist, as one might expect a romantic gesture, but it turns out to be a mundane action.


//first output PC-score

ID	Joke	Political Correctness (1-10)
1	"I can't hear what they're saying cuz I'm talking."	2
2	"Ticks, mosquitos, vampires... men."	3
3	"It's my own fault for swapping my tampax for sandpaper."	4
4	"I would choose alive."	1
5	"The third guy ducks."	1
6	"Because Ken comes in a different box. Heyooooooo"	5
7	"He got in treble."	2
8	"He had nothing left to chauffeur it."	2
9	"Don't ask her out again."	3
10	"He always opened the fridge door for me."	2
11	"Correct way to parent."	6
12	"WAKA WAKA WAKA mile in his shoes."	4
13	"Nothing... they were both made to steal American jobs."	10
14	"an Invisigoth."	3
15	"C,eh,N,eh,D,eh"	2
16	"the most dangerous thing about marijuana is getting caught with it?"	3
17	"Hasta last vista, baby."	6
18	"Now we all suffer..."	5
19	"Long enough to cover the essentials but short enough to hold your attention!"	3
20	"Twerky! Just kidding... Drugs. She eats drugs."	7
21	"'Cause they are freaking good at it."	2
22	"She fell out of the tree."	4
23	"women"	5
24	"I guess I'll deal with him later."	2
25	"Spudnik"	2



//first output funny-score

ID	Joke	Funniness (1-10)
1	"I can't hear what they're saying cuz I'm talking."	7
2	"Ticks, mosquitos, vampires... men."	6
3	"It's my own fault for swapping my tampax for sandpaper."	4
4	"I would choose alive."	6
5	"The third guy ducks."	9
6	"Because Ken comes in a different box. Heyooooooo"	5
7	"He got in treble."	8
8	"He had nothing left to chauffeur it."	7
9	"Don't ask her out again."	4
10	"He always opened the fridge door for me."	6
11	"Correct way to parent."	8
12	"WAKA WAKA WAKA mile in his shoes."	6
13	"Nothing... they were both made to steal American jobs."	2
14	"an Invisigoth."	8
15	"C,eh,N,eh,D,eh"	4
16	"the most dangerous thing about marijuana is getting caught with it?"	5
17	"Hasta last vista, baby."	3
18	"Now we all suffer..."	4
19	"Long enough to cover the essentials but short enough to hold your attention!"	6
20	"Twerky! Just kidding... Drugs. She eats drugs."	9
21	"'Cause they are freaking good at it."	5
22	"She fell out of the tree."	5
23	"women"	3
24	"I guess I'll deal with him later."	7
25	"Spudnik"	5
